sport_key,commence_time,home_team,away_team,bookmaker,market_type,selection_name,decimal_odds
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betfair,H2H,Rayo Vallecano,2.18
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betfair,H2H,Draw,3.35
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betsson,H2H,Espanyol,3.7
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betsson,H2H,Rayo Vallecano,2.12
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Betsson,H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Nordic Bet,H2H,Espanyol,3.7
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Nordic Bet,H2H,Rayo Vallecano,2.12
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Nordic Bet,H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (SE),H2H,Espanyol,3.75
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (SE),H2H,Rayo Vallecano,2.16
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (SE),H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,PMU (FR),H2H,Espanyol,3.6
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,PMU (FR),H2H,Rayo Vallecano,2.07
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,PMU (FR),H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (NL),H2H,Espanyol,3.75
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (NL),H2H,Rayo Vallecano,2.15
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Unibet (NL),H2H,Draw,3.35
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,LeoVegas (SE),H2H,Espanyol,3.65
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,LeoVegas (SE),H2H,Rayo Vallecano,2.1
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,LeoVegas (SE),H2H,Draw,3.2
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,BetOnline.ag,H2H,Espanyol,3.92
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,BetOnline.ag,H2H,Rayo Vallecano,2.12
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,BetOnline.ag,H2H,Draw,3.25
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Coolbet,H2H,Espanyol,4.1
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Coolbet,H2H,Rayo Vallecano,2.1
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Coolbet,H2H,Draw,3.22
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Matchbook,H2H,Espanyol,4.1
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Matchbook,H2H,Rayo Vallecano,2.18
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Matchbook,H2H,Draw,3.3
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Everygame,H2H,Espanyol,3.85
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Everygame,H2H,Rayo Vallecano,2.05
soccer_spain_la_liga,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,Everygame,H2H,Draw,3.1
soccer_spain_la_liga,2026-04-23T19:30:00Z,Oviedo,Villarreal,Unibet (FR),H2H,Oviedo,3.6
